lat,long,elev,time
408633568,-778363124,3328,9.64
408633627,-778363144,3328,9.65
408633687,-778363165,3328,9.66
408633747,-778363188,3328,9.67
408633807,-778363202,3329,9.68
408633863,-778363219,3329,9.69
408633919,-778363236,3329,9.7
408633977,-778363252,3329,9.71
408634033,-778363262,3329,9.72
408634091,-778363275,3329,9.73
408634149,-778363288,3329,9.74
408634203,-778363298,3329,9.75
408634259,-778363308,3330,9.76
408634317,-778363322,3330,9.77
408634371,-778363329,3329,9.78
408634426,-778363336,3330,9.79
408634479,-778363342,3330,9.8
408634534,-778363348,3330,9.81
408634588,-778363355,3330,9.82
408634642,-778363360,3330,9.83
408634694,-778363359,3330,9.84
408634746,-778363361,3330,9.85
408634800,-778363363,3331,9.86
408634855,-778363370,3331,9.87
408634906,-778363366,3331,9.88
408634959,-778363369,3331,9.89
408635009,-778363372,3331,9.9
408635057,-778363372,3331,9.91
408635108,-778363375,3331,9.92
408635159,-778363369,3332,9.93
408635210,-778363365,3332,9.94
408635258,-778363356,3332,9.95
408635307,-778363357,3332,9.96
408635355,-778363359,3333,9.97
408635404,-778363358,3332,9.98
408635450,-778363359,3333,9.99
408635497,-778363351,3333,10
408635545,-778363349,3333,10.01
408635594,-778363348,3333,10.02
408635640,-778363341,3334,10.03
408637851,-778363637,3334,10.04
408638950,-778361956,3339,10.05
408638964,-778361884,3339,10.06
408638975,-778361813,3339,10.07
408638986,-778361745,3339,10.08
408638986,-778361745,3339,10.09
408638995,-778361678,3339,10.1
408639009,-778361623,3339,10.11
408639014,-778361559,3339,10.12
408639019,-778361498,3339,10.13
408639024,-778361443,3339,10.14
408639027,-778361387,3339,10.15
408639032,-778361335,3339,10.16
408639036,-778361287,3338,10.17
408639039,-778361240,3338,10.18
408639041,-778361198,3339,10.19
408639042,-778361159,3338,10.2
408639049,-778361121,3339,10.21
408639045,-778361091,3338,10.22
408639046,-778361060,3338,10.23
408639045,-778361033,3338,10.24
408639046,-778361010,3338,10.25
408639045,-778360990,3338,10.26
408639044,-778360972,3338,10.27
408639045,-778360955,3338,10.28
408639044,-778360941,3338,10.29
408639044,-778360929,3338,10.3
408639048,-778360907,3338,10.31
408639047,-778360904,3338,10.32
408639046,-778360897,3338,10.33
408639046,-778360891,3338,10.34
408639047,-778360887,3338,10.35
408639047,-778360884,3338,10.36
408639047,-778360883,3338,10.37
408639047,-778360881,3338,10.38
408639046,-778360877,3338,10.39
408639046,-778360874,3338,10.4
408639047,-778360866,3338,10.41
408639046,-778360877,3338,10.42
408639047,-778360879,3338,10.43
408639048,-778360877,3338,10.44
408639047,-778360874,3338,10.45
408639047,-778360877,3338,10.46
408639047,-778360877,3338,10.47
408639047,-778360877,3338,10.48
408639047,-778360876,3338,10.49
408639047,-778360878,3338,10.5
408639050,-778360875,3338,10.51
408639050,-778360876,3338,10.52
408639050,-778360877,3338,10.53
408639050,-778360876,3338,10.54
408639049,-778360877,3338,10.55
408639049,-778360877,3338,10.56
408639049,-778360878,3338,10.57
408639049,-778360878,3338,10.58
408639048,-778360877,3338,10.59
408639048,-778360878,3338,10.6
408639051,-778360879,3338,10.61
408639051,-778360878,3338,10.62
408639051,-778360880,3338,10.63
408639053,-778360881,3338,10.64
408639052,-778360882,3338,10.65
408639052,-778360883,3338,10.66
408639052,-778360885,3338,10.67
408639052,-778360885,3338,10.68
408639052,-778360886,3338,10.69
408639052,-778360886,3338,10.7
408639053,-778360887,3339,10.71
408639053,-778360888,3338,10.72
408639054,-778360889,3339,10.73
408639054,-778360893,3338,10.74
408639054,-778360897,3339,10.75
408639055,-778360904,3339,10.76
408639055,-778360913,3339,10.77
408639055,-778360927,3339,10.78
408639056,-778360941,3339,10.79
408639057,-778360959,3339,10.8
408639060,-778360979,3339,10.81
408639061,-778361002,3339,10.82
408639062,-778361023,3339,10.83
408639062,-778361046,3339,10.84
408639062,-778361069,3339,10.85
408639062,-778361094,3339,10.86
408639062,-778361117,3339,10.87
408639062,-778361141,3339,10.88
408639058,-778361162,3339,10.89
408639056,-778361182,3339,10.9
408639054,-778361200,3340,10.91
408639052,-778361227,3340,10.92
408639049,-778361249,3340,10.93
408639047,-778361266,3340,10.94
408639045,-778361284,3340,10.95
408639041,-778361304,3340,10.96
408639037,-778361320,3340,10.97
408639034,-778361340,3340,10.98
408639031,-778361357,3340,10.99
408639028,-778361373,3340,11
408639024,-778361387,3340,11.01
408639021,-778361402,3340,11.02
408639017,-778361414,3340,11.03
408639013,-778361428,3340,11.04
408639010,-778361439,3340,11.05
408639007,-778361453,3340,11.06
408639004,-778361467,3340,11.07
408639000,-778361478,3340,11.08
408638996,-778361491,3340,11.09
408638990,-778361502,3340,11.1
408638985,-778361520,3340,11.11
408638981,-778361529,3340,11.12
408638976,-778361543,3340,11.13
408638971,-778361555,3340,11.14
408638967,-778361568,3340,11.15
408638961,-778361577,3340,11.16
408638957,-778361590,3339,11.17
408638951,-778361600,3340,11.18
408638945,-778361609,3339,11.19
408638942,-778361620,3339,11.2
408638936,-778361634,3339,11.21
408638930,-778361645,3339,11.22
408638923,-778361655,3339,11.23
408638917,-778361666,3340,11.24
408638914,-778361673,3339,11.25
408638906,-778361684,3340,11.26
408638901,-778361690,3339,11.27
408638898,-778361700,3339,11.28
408638891,-778361707,3339,11.29
408638886,-778361716,3339,11.3
408638878,-778361728,3340,11.31
408638875,-778361735,3339,11.32
408638868,-778361742,3339,11.33
408638862,-778361749,3339,11.34
408638857,-778361757,3339,11.35
408638851,-778361765,3339,11.36
408638844,-778361775,3339,11.37
408638837,-778361781,3339,11.38
408638831,-778361789,3339,11.39
408638825,-778361797,3339,11.4
408638817,-778361804,3339,11.41
408638812,-778361811,3339,11.42
408638807,-778361815,3339,11.43
408638800,-778361821,3339,11.44
408638795,-778361825,3339,11.45
408638791,-778361829,3339,11.46
408638786,-778361834,3339,11.47
408638781,-778361840,3339,11.48
408638778,-778361842,3339,11.49
408638773,-778361845,3339,11.5
408638768,-778361850,3339,11.51
408638764,-778361853,3339,11.52
408638761,-778361856,3339,11.53
408638756,-778361861,3339,11.54
408638753,-778361862,3339,11.55
408638749,-778361867,3339,11.56
408638748,-778361868,3339,11.57
408638747,-778361871,3339,11.58
408638746,-778361870,3339,11.59
408638748,-778361869,3339,11.6
408638744,-778361868,3339,11.61
408638747,-778361865,3339,11.62
408638746,-778361865,3339,11.63
408638745,-778361866,3339,11.64
